FrameNum      10
Ball254-276   16821645165817221832198021512326248726172701273027012617248723262151198018321722165816451682
Ball277-299   16571646169217971954215123692590279029493052308830522949279025902369215119541797169216461657
Ball300-322   16461660173918832083232625902852308832753395343633953275308828522590232620831883173916601646
Ball323-345   16441681178919672205248727903088335435653700374637003565335430882790248722051967178916811644
Ball346-368   16461701183220372305261729493275356537943940399039403794356532752949261723052037183217011646
Ball369-391   16491716186220832369270130523395370039404093414640933940370033953052270123692083186217161649
Ball392-414   16511722187221002392273030883436374639904146419941463990374634363088273023922100187217221651
Ball415-437   16491716186220832369270130523395370039404093414640933940370033953052270123692083186217161649
Ball438-460   16461701183220372305261729493275356537943940399039403794356532752949261723052037183217011646
Ball461-483   16441681178919672205248727903088335435653700374637003565335430882790248722051967178916811644
Ball484-506   16461660173918832083232625902852308832753395343633953275308828522590232620831883173916601646
Ball507-529   16571646169217971954215123692590279029493052308830522949279025902369215119541797169216461657
Ball530-552   16821645165817221832198021512326248726172701273027012617248723262151198018321722165816451682
Ball553-575   17231663164416681733183219542083220523052369239223692305220520831954183217331668164416631723
Ball576-598   17821703165616441668172217971883196720372083210020832037196718831797172216681644165617031782
Ball599-621   18571765169716561644165816921739178918321862187218621832178917391692165816441656169717651857
Ball622-644   19451848176517031663164516461660168117011716172217161701168116601646164516631703176518481945
Ball645-667   20401945185717821723168216571646164416461649165116491646164416461657168217231782185719452040
Ball668-690   21362049196318841816176117201691167216611656165416561661167216911720176118161884196320492136
Ball691-713   22232151207520001931187118211782175317341723172017231734175317821821187119312000207521512223
Ball714-736   22952241218021162053199519451903187118481834183018341848187119031945199520532116218022412295
Ball737-759   23452312226922202169212020752036200419821968196319681982200420362075212021692220226923122345
Ball760-782   23682356233223022266222921942162213621162104210021042116213621622194222922662302233223562368
Ball783-805   23632369236523532334231222882266224722322223222022232232224722662288231223342353236523692363
Frame         4
Ball001-023   24502459245424372412238223512322229622772264226022642277229623222351238224122437245424592450
Ball024-046   24572441241023692322227322252183214821212105210021052121214821832225227323222369241024412457
Ball047-069   24272382232522602192212720662014197319421924191819241942197320142066212721922260232523822427
Ball070-092   23602288220721212038196118931837179417641746174017461764179418371893196120382121220722882360
Ball093-115   22642168206619671875179417281676163816121598159315981612163816761728179418751967206621682264
Ball116-138   21482032191818131722164815931554152915151508150615081515152915541593164817221813191820322148
Ball139-161   20201893177616761598154315101495149214951499150114991495149214951510154315981676177618932020
Ball162-184   18931764165415711518149414951513154115681588159615881568154115131495149415181571165417641893
Ball185-207   17761654156215081492151115571619168517431783179717831743168516191557151114921508156216541776
Ball208-230   16761571150814921524159616961811192320162078210020782016192318111696159615241492150815711676
Ball231-253   15981518149215241611174319052078224023732459248924592373224020781905174316111524149215181598
Ball254-276   15431494151115961743194121682401261627892901294029012789261624012168194117431596151114941543
Ball277-299   15101495155716961905216824592753302032323370341733703232302027532459216819051696155714951510
Ball300-322   14951513161918112078240127533102341736663827388238273666341731022753240120781811161915131495
Ball323-345   14921541168519232240261630203417377240534233429542334053377234173020261622401923168515411492
Ball346-368   14951568174320162373278932323666405343584553462045534358405336663232278923732016174315681495
Ball369-391   14991588178320782459290133703827423345534758482847584553423338273370290124592078178315881499
