FrameNum      8 
Ball484-506   00050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005
Ball507-529   00470047004700470047004700470047004700470047004700470047004700470047004700470047004700470047
Ball530-552   02590259025902590259025902590259025902590259025902590259025902590259025902590259025902590259
Ball553-575   06310631063106310631063106310631063106310631063106310631063106310631063106310631063106310631
Ball576-598   11531153115311531153115311531153115311531153115311531153115311531153115311531153115311531153
Ball599-621   18051805180518051805180518051805180518051805180518051805180518051805180518051805180518051805
Ball622-644   25672567256725672567256725672567256725672567256725672567256725672567256725672567256725672567
Ball645-667   34113411341134113411341134113411341134113411341134113411341134113411341134113411341134113411
Ball668-690   43094309430943094309430943094309430943094309430943094309430943094309430943094309430943094309
Ball691-713   52305230523052305230523052305230523052305230523052305230523052305230523052305230523052305230
Ball714-736   61446144614461446144614461446144614461446144614461446144614461446144614461446144614461446144
Ball737-759   70197019701970197019701970197019701970197019701970197019701970197019701970197019701970197019
Ball760-782   78257825782578257825782578257825782578257825782578257825782578257825782578257825782578257825
Ball783-805   85358535853585358535853585358535853585358535853585358535853585358535853585358535853585358535
Frame         3
Ball001-023   99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999 
Ball024-046   99159915991599159915991599159915991599159915991599159915991599159915991599159915991599159915
Ball047-069   96629662966296629662966296629662966296629662966296629662966296629662966296629662966296629662
Ball070-092   92519251925192519251925192519251925192519251925192519251925192519251925192519251925192519251
Ball093-115   86958695869586958695869586958695869586958695869586958695869586958695869586958695869586958695
Ball116-138   80138013801380138013801380138013801380138013801380138013801380138013801380138013801380138013
Ball139-161   72297229722972297229722972297229722972297229722972297229722972297229722972297229722972297229
Ball162-184   63686368636863686368636863686368636863686368636863686368636863686368636863686368636863686368
Ball185-207   54615461546154615461546154615461546154615461546154615461546154615461546154615461546154615461
Ball208-230   45394539453945394539453945394539453945394539453945394539453945394539453945394539453945394539
Ball231-253   36323632363236323632363236323632363236323632363236323632363236323632363236323632363236323632
